Data Lanc.,Data Valor,Descrição,Valor,Saldo
16/10/2024,16/10/2024,COMPRA 7341 PRIMARK BRAGE- PARQUE B CONTACTLESS,-7.00,332.54
16/10/2024,16/10/2024,COMPRA 7341 FARMACIA LOUREIRO 4700-690 PALMEIRA,-34.65,297.89
17/10/2024,17/10/2024,COMPRA 3799 MCDONALDS VILA VERDE VI CONTACTLESS,-11.3,286.59
18/10/2024,18/10/2024,COMPRA 3799 PIZZARIA MOSTEIRO SOUTE CONTACTLESS,-18.00,268.59
21/10/2024,21/10/2024,COMPRA 3799 FARMACIA LOUREIRO 4700-690 PALMEIRA,-2.75,265.84
21/10/2024,21/10/2024,COMPRA 7341 SUPERMERCADOS AMARES,-71.15,194.69
21/10/2024,21/10/2024,COMPRA 7341 PINGO DOCE VILA VERDBEMPOSTA,-18.99,175.7
21/10/2024,21/10/2024,DD PT67106686 GOLD ENERGY - C 00302213,-82.26,93.44
22/10/2024,22/10/2024,COMPRA 3799 PAST CRISTO REI GUIMARA CONTACTLESS,-23.6,69.84
22/10/2024,22/10/2024,COMPRA 3799 LIDL AGRADECE 4730-752  CONTACTLESS,-2.97,66.87
22/10/2024,22/10/2024,COMPRA 3799 LIDL AGRADECE 4730-752  CONTACTLESS,-40.88,25.99
22/10/2024,22/10/2024,COMPRA 3799 PINGO DOCE VILA VERD AB CONTACTLESS,-5.38,20.61
22/10/2024,22/10/2024,TRF MB WAY DE ENG HUGO MOTA,300.00,320.61
22/10/2024,22/10/2024,TRF MB WAY P/ *****6595,-30.00,290.61
23/10/2024,23/10/2024,"DD PT73101243 MEO, SA         30329005452",-35.89,254.72
24/10/2024,24/10/2024,COMPRA 3799 TABERNA BELGA SAO VICEN CONTACTLESS,-26.75,227.97
24/10/2024,24/10/2024,COMPRA 7341 CLIN MED CIR ST TECL4715-018 BRAGA,-15.00,212.97
24/10/2024,24/10/2024,LEV ATM 7341 CG    Braga         R de S. Marcos,-10.00,202.97
28/10/2024,28/10/2024,COMPRA 7341 PINGO DOCE VILA VERDBEMPOSTA,-26.08,176.89
28/10/2024,28/10/2024,LEV ATM 7341 BCP   VILA VERDE    Pingo Doce -Vi,-20.00,156.89
29/10/2024,29/10/2024,COMPRA 3799 EST SERVICO POSTO 2 PALMEIRA PALMEI,-30.00,126.89
29/10/2024,29/10/2024,COMPRA 3799 PIZZARIA MOSTEIRO SOUTE CONTACTLESS,-33.2,93.69
29/10/2024,29/10/2024,COMPRA 3799 CHEN TONGTAO FERREIROS  CONTACTLESS,-3.00,90.69
29/10/2024,29/10/2024,COMPRA 3799 CONTROLAUTO BRAGA ADAUF CONTACTLESS,-35.89,54.8
29/10/2024,29/10/2024,TRF MB WAY P/ *****6598,-14.95,39.85
30/10/2024,30/10/2024,COMPRA 7341 FARMACIA DO MERCADO 4720-086 BRAGA,-24.95,14.9
30/10/2024,30/10/2024,TRF MB WAY DE ENG HUGO MOTA,300.00,314.9
30/10/2024,30/10/2024,TRF MB WAY P/ *****1195,-25.00,289.9
30/10/2024,30/10/2024,TRF MB WAY P/ *****1195,-31.25,258.65
30/10/2024,30/10/2024,TRF MB WAY P/ *****1195,-25.00,233.65
30/10/2024,30/10/2024,TRF MB WAY P/ *****6595,-30.5,203.15
31/10/2024,31/10/2024,COMPRA 7341 PINGO DOCE VILA VERDBEMPOSTA,-33.53,169.62
01/11/2024,01/11/2024,TRF MB WAY P/ *****4779,-26.05,143.57
04/11/2024,04/11/2024,TRF MB WAY P/ *****6403,-8.00,135.57
04/11/2024,04/11/2024,TRF. P/O  HUGO DANIEL PINTO MOTA,"1,000.00",1135.57
05/11/2024,05/11/2024,DD PT41104147 MUNICIPIO DE AM 20001463303,-18.66,1116.91
05/11/2024,05/11/2024,COMPRA 3799 EST SERVICO PA AMARES AMARES PT,-30.00,1086.91
05/11/2024,05/11/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-8.9,1078.01
05/11/2024,05/11/2024,COMPRA 7341 H T SAUDE BRAGA SUL BRAGA,-30.00,1048.01
06/11/2024,06/11/2024,TRF. P/O  JOANA ISABEL RODRIGUES CERQ,800.00,1848.01
06/11/2024,06/11/2024,TRF MB WAY P/ *****8301,-18.55,1829.46
06/11/2024,06/11/2024,TRF MB WAY P/ *****1195,-31.25,1798.21
08/11/2024,08/11/2024,COMPRA 7341 LIDL AGRADECE 4730-752 VILA VERDE,-34.74,1763.47
08/11/2024,08/11/2024,"COMPRA 3799 MARTIPOR, LDA VILA VERD CONTACTLESS",-3.32,1760.15
