Data Lanc.,Data Valor,Descrição,Valor,Saldo
01/08/2024,01/08/2024,TRF MB WAY P/ *****1195,-31.25,204.78
01/08/2024,01/08/2024,TRF MB WAY P/ *****8301,-12.7,192.08
01/08/2024,01/08/2024,PAG BXVAL- 3799 VIAVERDE,-1.4,190.68
05/08/2024,05/08/2024,DD PT41104147 MUNICIPIO DE AM 20001463303,-17.3,173.38
05/08/2024,05/08/2024,TRF. P/O  HUGO DANIEL PINTO MOTA,"1,000.00",1173.38
06/08/2024,06/08/2024,COMPRA 3799 EST SERVICO PRIO ENERGY SA APARTADO,-9.6,1163.78
06/08/2024,06/08/2024,TRF. P/O  JOANA ISABEL RODRIGUES CERQ,800.00,1963.78
08/08/2024,08/08/2024,TRF MB WAY P/ *****6595,-192.54,1771.24
12/08/2024,12/08/2024,COMPRA 3799 RESTAUR MARTINS FAO,-38.55,1732.69
13/08/2024,13/08/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-9.6,1723.09
13/08/2024,13/08/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-9.6,1713.49
13/08/2024,13/08/2024,COMPRA 3799 ALIEXPRESSCOM Luxembourg,-24.98,1688.51
13/08/2024,13/08/2024,LEV ATM 3799 CGD   LAVRA         Mercado de Ang,-50.00,1638.51
14/08/2024,14/08/2024,"COMPRA 3799 EST SERVICO ILIDIO MOTA, LDA. PALME",-50.00,1588.51
15/08/2024,15/08/2024,COMPRA 3799 DECATHLON BRAGA BRAGA P CONTACTLESS,-64.9,1523.61
15/08/2024,15/08/2024,TRF P/ BANKINTER CONTA DO CREDITO,"-1,000.00",523.61
15/08/2024,15/08/2024,PAG BXVAL- 3799 VIAVERDE,-7.23,516.38
16/08/2024,16/08/2024,TRF MB WAY P/ *****1195,-31.25,485.13
16/08/2024,16/08/2024,TRF MB WAY P/ *****1195,-25.00,460.13
16/08/2024,16/08/2024,COMPRA 3799 ORBITUR ANGEIRAS PT     CONTACTLESS,-15.4,444.73
16/08/2024,16/08/2024,COMPRA 3799 DECATHLON MATOSINHOS PT CONTACTLESS,-48.7,396.03
20/08/2024,20/08/2024,COMPRA 3799 EST SERVICO PRIO ENERGY SA APARTADO,-4.8,391.23
20/08/2024,20/08/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-9.6,381.63
21/08/2024,21/08/2024,LEV ATM 3799 MG    LAGO          O Campino - Lg,-20.00,361.63
21/08/2024,21/08/2024,DD PT67106686 GOLD ENERGY - C 00302213,-81.73,279.9
21/08/2024,21/08/2024,COMPRA 3799 MIRACORVO TALHOS SOUTEL CONTACTLESS,-4.57,275.33
22/08/2024,22/08/2024,"DD PT73101243 MEO, SA         30329005452",-35.89,239.44
22/08/2024,22/08/2024,PAG BXVAL- 3799 VIAVERDE,-10.25,229.19
23/08/2024,23/08/2024,TRF MB WAY P/ *****8301,-13.95,215.24
27/08/2024,27/08/2024,COMPRA 3799 PIZZARIA MOSTEIRO SOUTE CONTACTLESS,-33.00,182.24
27/08/2024,27/08/2024,COMPRA 3799 PIZZARIA MOSTEIRO SOUTE CONTACTLESS,-3.2,179.04
27/08/2024,27/08/2024,"COMPRA 3799 EST SERVICO RECAUCHUTAGEM RAM A, PA",-9.6,169.44
27/08/2024,27/08/2024,COMPRA 3799 MIRACORVO TALHOS SOUTEL CONTACTLESS,-24.89,144.55
28/08/2024,28/08/2024,COMPRA 3799 NOVO SUPER PALMEIRA BRG CONTACTLESS,-10.16,134.39
29/08/2024,29/08/2024,COMPRA 3799 NOSSO TALHO LAGO PT     CONTACTLESS,-6.75,127.64
30/08/2024,30/08/2024,COMPRA 3799 MCDONALDS VILA VERDE VI CONTACTLESS,-18.25,109.39
30/08/2024,30/08/2024,TRF MB WAY P/ *****1195,-31.25,78.14
02/09/2024,02/09/2024,PAG BXVAL- 3799 VIAVERDE,-6.75,71.39
03/09/2024,03/09/2024,DD PT41104147 MUNICIPIO DE AM 20001463303,-16.56,54.83
04/09/2024,04/09/2024,TRF. P/O  HUGO DANIEL PINTO MOTA,"1,000.00",1054.83
05/09/2024,05/09/2024,PAG BXVAL- 3799 VIAVERDE,-2.6,1052.23
06/09/2024,06/09/2024,TRF. P/O  JOANA ISABEL RODRIGUES CERQ,800.00,1852.23
11/09/2024,11/09/2024,LEV ATM 3799 MG    LAGO          O Campino - Lg,-60.00,1792.23
13/09/2024,13/09/2024,COMPRA 3799 LIMAS CAFE SOUTELO VVD  CONTACTLESS,-11.3,1780.93
16/09/2024,16/09/2024,TRF P/ BANKINTER CONTA DO CREDITO,"-1,000.00",780.93
17/09/2024,17/09/2024,TRF MB WAY P/ *****8301,-17.19,763.74
17/09/2024,17/09/2024,TRF MB WAY P/ *****1195,-31.25,732.49
17/09/2024,17/09/2024,TRF MB WAY P/ *****6595,-160.8,571.69
17/09/2024,16/09/2024,TRF MB WAY DE ENG HUGO MOTA,600.00,1171.69
17/09/2024,17/09/2024,"COMPRA 3799 EST SERVICO ILIDIO MOTA, LDA. PALME",-59.91,1111.78
17/09/2024,17/09/2024,"COMPRA 3799 EST SERVICO ILIDIO MOTA, LDA. PALME",-41.56,1070.22
17/09/2024,17/09/2024,"COMPRA 3799 EST SERVICO ILIDIO MOTA, LDA. PALME",-41.62,1028.6
17/09/2024,17/09/2024,"COMPRA 3799 EST SERVICO ILIDIO MOTA, LDA. PALME",-41.59,987.01
17/09/2024,17/09/2024,"COMPRA 3799 EST SERVICO ILIDIO MOTA, LDA. PALME",-41.67,945.34
17/09/2024,17/09/2024,"COMPRA 3799 EST SERVICO ILIDIO MOTA, LDA. PALME",-41.61,903.73
17/09/2024,17/09/2024,"COMPRA 3799 EST SERVICO ILIDIO MOTA, LDA. PALME",-41.56,862.17
17/09/2024,17/09/2024,COMPRA 3799 PAST CRISTO REI GUIMARA CONTACTLESS,-13.55,848.62
18/09/2024,18/09/2024,"COMPRA 3799 MARTIPOR, LDA VILA VERD CONTACTLESS",-24.69,823.93
18/09/2024,18/09/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-35.95,787.98
19/09/2024,19/09/2024,COMPRA 7341 H T SAUDE BRAGA SUL BRAGA,-30.00,757.98
20/09/2024,20/09/2024,COMPRA 3799 Electrolux Lda Paco D Arcos,-29.92,728.06
23/09/2024,23/09/2024,COMPRA 7341 LAVANDARIA DO MERCADFERREIROS,-33.03,695.03
23/09/2024,23/09/2024,LEV ATM 7341 CCAM  AMARES        Cafe AO QUADRA,-20.00,675.03
23/09/2024,23/09/2024,COMPRA 7341 PINGO DOCE VILA VERDBEMPOSTA,-14.58,660.45
23/09/2024,23/09/2024,"DD PT73101243 MEO, SA         30329005452",-35.89,624.56
23/09/2024,23/09/2024,DD PT67106686 GOLD ENERGY - C 00302213,-86.99,537.57
24/09/2024,24/09/2024,COMPRA 3799 ALDI MAIA MAIA PT       CONTACTLESS,-11.16,526.41
27/09/2024,27/09/2024,TRF MB WAY P/ *****8301,-21.4,505.01
27/09/2024,27/09/2024,TRF MB WAY P/ *****1195,-25.00,480.01
27/09/2024,27/09/2024,TRF MB WAY P/ *****1195,-31.25,448.76
30/09/2024,30/09/2024,TRF MB WAY P/ *****5736,-40.00,408.76
30/09/2024,30/09/2024,COMPRA 7341 MERCADO PRECO BOM-JOAMARES,-21.97,386.79
30/09/2024,30/09/2024,COMPRA 7341 SUPERMERCADOS AMARES,-48.36,338.43
30/09/2024,30/09/2024,COMPRA 7341 LEFTIES BRAGA,-36.95,301.48
30/09/2024,30/09/2024,CRED. 7341 LEFTIES BRAGA,3.99,305.47
30/09/2024,30/09/2024,TRF MB WAY P/ *****6595,-187.65,117.82
30/09/2024,29/09/2024,TRF MB WAY DE ENG HUGO MOTA,300.00,417.82
30/09/2024,30/09/2024,COMPRA 7341 H T SAUDE BRAGA SUL BRAGA,-30.00,387.82
