Data Lanc.,Data Valor,Descrição,Valor,Saldo
12/02/2024,12/02/2024,TRF MB WAY P/ *****6595,-32.12,1525.15
12/02/2024,12/02/2024,TRF MB WAY P/ *****6595,-8.00,1517.15
12/02/2024,12/02/2024,TRF MB WAY P/ *****6595,-9.00,1508.15
12/02/2024,12/02/2024,TRF MB WAY P/ *****6595,-200.18,1307.97
12/02/2024,12/02/2024,TRF MB WAY P/ *****6595,-164.99,1142.98
12/02/2024,12/02/2024,TRF MB WAY P/ *****6595,-5.49,1137.49
14/02/2024,14/02/2024,TRF MB WAY P/ *****8744,-50.00,1087.49
15/02/2024,15/02/2024,TRF P/ BANKINTER CONTA DO CREDITO,"-1,000.00",87.49
20/02/2024,20/02/2024,TRF MB WAY P/ *****8301,-12.6,74.89
20/02/2024,20/02/2024,PAG SERV 21289/044512527 MUNICIPIO DE AMARES,-15.44,59.45
22/02/2024,22/02/2024,"DD PT73101243 MEO, SA         30329005452",-35.89,23.56
22/02/2024,22/02/2024,TRF MB WAY DE ENG HUGO MOTA,500.00,523.56
23/02/2024,23/02/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-8.1,515.46
26/02/2024,26/02/2024,COMPRA 7341 MERCADO PRECO BOM-JOAMA CONTACTLESS,-18.92,496.54
26/02/2024,26/02/2024,LEV ATM 3799 BPI   Ferreiros Amr Lg da Feira,-20.00,476.54
26/02/2024,26/02/2024,PAG SERV 12216/584498513 GOLD ENERGY-COMERCIALI,-97.95,378.59
26/02/2024,26/02/2024,TRF MB WAY P/ *****6595,-30.00,348.59
28/02/2024,28/02/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-9.00,339.59
28/02/2024,28/02/2024,COMPRA 3799 J.SOARES E RODRIGUES4720-521 AMARES,-24.99,314.6
29/02/2024,29/02/2024,COMPRA 7341 PINGO DOCE VILA VERDBEMPOSTA,-27.92,286.68
04/03/2024,04/03/2024,LEV ATM 7341 MG    PALMEIRA BRG  SGV - R Prof M,-20.00,266.68
04/03/2024,04/03/2024,TRF MB WAY P/ *****8301,-14.59,252.09
04/03/2024,04/03/2024,TRF MB WAY P/ *****1195,-31.25,220.84
04/03/2024,04/03/2024,TRF MB WAY P/ *****8119,-22.00,198.84
04/03/2024,04/03/2024,TRF. P/O  HUGO DANIEL PINTO MOTA,"1,000.00",1198.84
04/03/2024,04/03/2024,COMPRA 7341 CRONICA DO FUTURO VILA  CONTACTLESS,-18.63,1180.21
04/03/2024,04/03/2024,"COMPRA 7341 MAC TOM IUNIPESSOAL,VIL CONTACTLESS",-11.3,1168.91
04/03/2024,04/03/2024,"COMPRA 7341 MAC TOM IUNIPESSOAL,VIL CONTACTLESS",-2.4,1166.51
05/03/2024,05/03/2024,"COMPRA 3799 EST SERVICO ILIDIO MOTA, LDA. PALME",-30.00,1136.51
05/03/2024,05/03/2024,"COMPRA 3799 EST SERVICO ILIDIO MOTA, LDA. PALME",-30.2,1106.31
05/03/2024,05/03/2024,COMPRA 3799 SUPERMERCADO GALEGO AMA CONTACTLESS,-6.39,1099.92
06/03/2024,06/03/2024,DD PT41104147 MUNICIPIO DE AM 20001463303,-17.3,1082.62
06/03/2024,06/03/2024,TRF. P/O  JOANA ISABEL RODRIGUES CERQ,800.00,1882.62
07/03/2024,07/03/2024,"PAG SERV 21426/660178188 ALTICE PAY, S.A.",-52.74,1829.88
07/03/2024,07/03/2024,TRF MB WAY P/ *****1195,-25.00,1804.88
08/03/2024,08/03/2024,COMPRA 3799 LIDL AGRADECE BRAGA PT  CONTACTLESS,-69.99,1734.89
11/03/2024,11/03/2024,COMPRA 3799 J.P.L.R. - 1 4730-581 SOUTELO,-28.65,1706.24
11/03/2024,11/03/2024,COMPRA 7341 HPBC HOSPITAL 4710-923 BRAGA,-45.00,1661.24
11/03/2024,11/03/2024,TRF MB WAY DE DRA  JOANA I CERQUEIRA,45.00,1706.24
12/03/2024,12/03/2024,COMPRA 3799 SUPERMERCADOS GALEGO FE CONTACTLESS,-17.47,1688.77
12/03/2024,12/03/2024,COMPRA 3799 PIZZARIA MOSTEIRO SOUTE CONTACTLESS,-17.2,1671.57
13/03/2024,13/03/2024,TRF MB WAY P/ *****1195,-31.25,1640.32
13/03/2024,13/03/2024,TRF MB WAY P/ *****8301,-17.9,1622.42
15/03/2024,15/03/2024,TRF P/ BANKINTER CONTA DO CREDITO,"-1,000.00",622.42
18/03/2024,18/03/2024,TRF MB WAY P/ *****6595,-27.15,595.27
18/03/2024,18/03/2024,LEV ATM 3799 MG    LAGO          O Campino - Lg,-150.00,445.27
19/03/2024,19/03/2024,"COMPRA 3799 EST SERVICO ILIDIO MOTA, LDA. PALME",-9.9,435.37
20/03/2024,20/03/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-4.5,430.87
20/03/2024,20/03/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-9.00,421.87
21/03/2024,21/03/2024,"DD PT73101243 MEO, SA         30329005452",-35.89,385.98
25/03/2024,25/03/2024,COMPRA 7341 PINGO DOCE VILA VERDBEMPOSTA,-46.49,339.49
25/03/2024,25/03/2024,DD PT67106686 GOLD ENERGY - C 00302213,-75.78,263.71
26/03/2024,26/03/2024,COMPRA 3799 A11 SOUTELINHO PT       CONTACTLESS,-2.9,260.81
26/03/2024,26/03/2024,TRF MB WAY P/ *****1195,-25.00,235.81
26/03/2024,26/03/2024,TRF MB WAY P/ *****8301,-15.7,220.11
26/03/2024,26/03/2024,TRF MB WAY P/ *****6595,-37.15,182.96
26/03/2024,26/03/2024,TRF MB WAY P/ *****6595,-31.00,151.96
26/03/2024,26/03/2024,TRF MB WAY P/ *****6595,-27.37,124.59
27/03/2024,27/03/2024,LEV ATM 3799 CCAM  AMARES        Cafe AO QUADRA,-60.00,64.59
02/04/2024,02/04/2024,COMPRA 3799 PINGO S TABACARIA VILA  CONTACTLESS,-9.00,55.59
04/04/2024,04/04/2024,TRF. P/O  HUGO DANIEL PINTO MOTA,"1,000.00",1055.59
05/04/2024,05/04/2024,DD PT41104147 MUNICIPIO DE AM 20001463303,-16.83,1038.76
05/04/2024,05/04/2024,TRF. P/O  JOANA ISABEL RODRIGUES CERQ,800.00,1838.76
08/04/2024,08/04/2024,TRF MB WAY P/ *****1195,-31.25,1807.51
08/04/2024,08/04/2024,TRF MB WAY P/ *****1195,-25.00,1782.51
08/04/2024,08/04/2024,"PAG SERV 21426/304380048 ALTICE PAY, S.A.",-51.28,1731.23
08/04/2024,08/04/2024,TRF MB WAY P/ *****6595,-49.11,1682.12
08/04/2024,08/04/2024,TRF MB WAY P/ *****6595,-83.04,1599.08
08/04/2024,08/04/2024,TRF MB WAY P/ *****6595,-18.15,1580.93
09/04/2024,09/04/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-4.4,1576.53
12/04/2024,12/04/2024,TRF MB WAY P/ *****1195,-31.25,1545.28
12/04/2024,12/04/2024,TRF MB WAY P/ *****8301,-12.64,1532.64
15/04/2024,15/04/2024,TRF P/ BANKINTER CONTA DO CREDITO,"-1,000.00",532.64
15/04/2024,15/04/2024,PAG BXVAL- 3799 VIAVERDE,-0.45,532.19
16/04/2024,16/04/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-9.00,523.19
16/04/2024,16/04/2024,COMPRA 3799 TABERNA BELGA SAO VICEN CONTACTLESS,-37.65,485.54
16/04/2024,16/04/2024,COMPRA 3799 EST SERVICO POSTO BP BRAGA PALME BR,-9.00,476.54
18/04/2024,18/04/2024,COMPRA 3799 PINGO DOCE VILA VERD AB CONTACTLESS,-35.82,440.72
22/04/2024,22/04/2024,DD PT67106686 GOLD ENERGY - C 00302213,-77.63,363.09
23/04/2024,23/04/2024,"DD PT73101243 MEO, SA         30329005452",-35.89,327.2
23/04/2024,23/04/2024,"COMPRA 3799 AGROBRICMAT, LDA CAIRES CONTACTLESS",-18.35,308.85
23/04/2024,23/04/2024,"COMPRA 3799 AGROBRICMAT, LDA CAIRES CONTACTLESS",-22.55,286.3
23/04/2024,23/04/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-39.6,246.7
23/04/2024,23/04/2024,COMPRA 3799 EST SERVICO TOTAL LAGO LAGO PT,-4.4,242.3
24/04/2024,24/04/2024,TRF MB WAY P/ *****1195,-25.00,217.3
24/04/2024,24/04/2024,TRF MB WAY P/ *****1195,-31.25,186.05
24/04/2024,24/04/2024,TRF MB WAY P/ *****8301,-18.55,167.5
24/04/2024,24/04/2024,TRF MB WAY P/ *****6595,-73.44,94.06
24/04/2024,24/04/2024,TRF MB WAY P/ *****6595,-35.89,58.17
24/04/2024,24/04/2024,TRF MB WAY P/ *****6595,-10.04,48.13
24/04/2024,24/04/2024,TRF MB WAY DE ENG HUGO MOTA,300.00,348.13
26/04/2024,25/04/2024,CRED. 7341 AMZN MKTP ES LUXEMBOURG,0.68,348.81
29/04/2024,29/04/2024,TRF MB WAY P/ *****8744,-130.00,218.81
29/04/2024,29/04/2024,COMPRA 7341 MERCADONA REAL,-68.8,150.01
30/04/2024,30/04/2024,COMPRA 3799 VIVEIROS DULCE LDA SOUT CONTACTLESS,-60.38,89.63
06/05/2024,06/05/2024,TRF. P/O  JOANA ISABEL RODRIGUES CERQ,800.00,889.63
06/05/2024,06/05/2024,TRF. P/O  HUGO DANIEL PINTO MOTA,"1,000.00",1889.63
07/05/2024,07/05/2024,DD PT41104147 MUNICIPIO DE AM 20001463303,-14.7,1874.93
07/05/2024,07/05/2024,TRF MB WAY P/ *****8301,-15.95,1858.98
07/05/2024,07/05/2024,PAG BXVAL- 3799 VIAVERDE,-14.75,1844.23
08/05/2024,08/05/2024,"COMPRA 3799 MARTIPOR, LDA VILA VERD CONTACTLESS",-10.86,1833.37
13/05/2024,13/05/2024,COMPRA 7341 PINGO DOCE VILA VERDBEMPOSTA,-47.28,1786.09
13/05/2024,13/05/2024,COMPRA 7341 SUPERMERCADOS GALEGOFERREIROS,-90.56,1695.53
13/05/2024,13/05/2024,TRF MB WAY P/ *****1195,-37.5,1658.03
13/05/2024,13/05/2024,"PAG SERV 21426/012365260 ALTICE PAY, S.A.",-49.82,1608.21
15/05/2024,15/05/2024,TRF P/ BANKINTER CONTA DO CREDITO,"-1,000.00",608.21
16/05/2024,16/05/2024,TRF MB WAY P/ *****1195,-25.00,583.21
16/05/2024,16/05/2024,TRF MB WAY P/ *****8301,-14.6,568.61
16/05/2024,16/05/2024,TRF MB WAY P/ *****6595,-151.6,417.01
16/05/2024,16/05/2024,TRF MB WAY P/ *****6595,-27.51,389.5
16/05/2024,16/05/2024,TRF MB WAY P/ *****6595,-37.00,352.5
20/05/2024,20/05/2024,"LEV ATM 7341 CCAM  Amares        Inflama,Lda -C",-20.00,332.5
21/05/2024,21/05/2024,DD PT67106686 GOLD ENERGY - C 00302213,-71.76,260.74
21/05/2024,21/05/2024,"COMPRA 3799 MARTIPOR, LDA VILA VERD CONTACTLESS",-11.07,249.67
22/05/2024,22/05/2024,"DD PT73101243 MEO, SA         30329005452",-35.89,213.78
24/05/2024,24/05/2024,TRF MB WAY P/ *****8744,-27.7,186.08
27/05/2024,27/05/2024,TRF MB WAY P/ *****8301,-19.39,166.69
27/05/2024,27/05/2024,TRF MB WAY P/ *****1195,-31.25,135.44
27/05/2024,27/05/2024,COMPRA 3799 FARMACIA LOUREIRO 4700-690 PALMEIRA,-3.08,132.36
27/05/2024,27/05/2024,COMPRA 7341 MINIPRECO AMARES FERREIROS AMR,-9.81,122.55
28/05/2024,28/05/2024,"COMPRA 3799 MARTIPOR, LDA VILA VERD CONTACTLESS",-36.43,86.12
28/05/2024,28/05/2024,COMPRA 3799 LA PIOLA BRAGA,-33.9,52.22
29/05/2024,29/05/2024,LEV ATM 3799 703   POVOA DE VARZ Cafe Berlim,-20.00,32.22
31/05/2024,31/05/2024,COMPRA 3799 EST SERVICO POSTO 2 PALMEIRA PALMEI,-30.00,2.22
